Feature,Group,Balanced Accuracy,F1,ROC-AUC,PR-AUC
mean_reaction_time_ms,Reaction Time,0.4633333333333334,0.7838827838827839,0.5633333333333332,0.8386031746031746
median_reaction_time_ms,Reaction Time,0.4833333333333334,0.8043956043956044,0.5499999999999999,0.8346031746031745
rt_variability,Reaction Time,0.4666666666666667,0.7868131868131868,0.6933333333333332,0.8805873015873015
rt_coefficient_of_variation,Reaction Time,0.5,0.8219780219780219,0.6799999999999999,0.8950000000000001
accuracy_overall,Behavioral,0.6933333333333332,0.8573260073260073,0.8266666666666665,0.9280317460317459
accuracy_by_load_diff,Behavioral,0.5,0.8219780219780219,0.5283333333333333,0.7953174603174603
accuracy_by_distractor_diff,Behavioral,0.4833333333333334,0.8043956043956044,0.6266666666666667,0.8387142857142857
normalized_fixation_instability,Gaze,0.5,0.8219780219780219,0.3383333333333333,0.6675873015873015
normalized_gaze_dispersion,Gaze,0.5,0.8219780219780219,0.4416666666666666,0.7265873015873016
pupil_variability,Pupil,0.47666666666666674,0.7754911754911754,0.6466666666666667,0.8652380952380951
omission_rate,Behavioral,0.5,0.8219780219780219,0.6733333333333335,0.8602857142857143
false_alarm_rate,Behavioral,0.5,0.8219780219780219,0.5,0.7
hit_rate,Behavioral,0.6266666666666667,0.8278388278388279,0.8099999999999999,0.9231746031746031
