Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC,Ablation_Group
Logistic_Regression,1,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,1.0,1.0,A_Behavioral_only
Logistic_Regression,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.75,0.9061507936507937,A_Behavioral_only
Logistic_Regression,3,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.9553571428571429,A_Behavioral_only
Logistic_Regression,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.8463095238095237,A_Behavioral_only
Logistic_Regression,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.6000000000000001,0.723095238095238,A_Behavioral_only
Random_Forest,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A_Behavioral_only
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5833333333333334,0.7880952380952381,A_Behavioral_only
Random_Forest,3,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.8333333333333333,0.9436507936507936,A_Behavioral_only
Random_Forest,4,0.75,0.8,1.0,0.6,1.0,0.75,0.6666666666666667,0.8463095238095237,A_Behavioral_only
Random_Forest,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.8,0.893095238095238,A_Behavioral_only
XGBoost,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A_Behavioral_only
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5833333333333334,0.7837301587301587,A_Behavioral_only
XGBoost,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.8333333333333333,0.9436507936507936,A_Behavioral_only
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.7424999999999999,A_Behavioral_only
XGBoost,5,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.6666666666666667,0.8163095238095238,A_Behavioral_only
