Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC,Ablation_Group
Logistic_Regression,1,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,1.0,1.0,A_Behavioral_only
Logistic_Regression,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.75,0.915079365079365,A_Behavioral_only
Logistic_Regression,3,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.9583333333333334,A_Behavioral_only
Logistic_Regression,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.8583333333333333,A_Behavioral_only
Logistic_Regression,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.6000000000000001,0.7595238095238095,A_Behavioral_only
Random_Forest,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A_Behavioral_only
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5833333333333334,0.8178571428571428,A_Behavioral_only
Random_Forest,3,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.8333333333333333,0.9484126984126984,A_Behavioral_only
Random_Forest,4,0.75,0.8,1.0,0.6,1.0,0.75,0.6666666666666667,0.8583333333333333,A_Behavioral_only
Random_Forest,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.7333333333333334,0.8761904761904762,A_Behavioral_only
XGBoost,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A_Behavioral_only
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5833333333333334,0.8313492063492064,A_Behavioral_only
XGBoost,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.8333333333333333,0.9484126984126984,A_Behavioral_only
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.7683333333333333,A_Behavioral_only
XGBoost,5,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.6666666666666667,0.8261904761904763,A_Behavioral_only
Logistic_Regression,1,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.6666666666666667,0.8972222222222223,B_Reaction_Time_only
Logistic_Regression,2,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.5,0.8357142857142856,B_Reaction_Time_only
Logistic_Regression,3,0.625,0.5833333333333333,0.8,0.6666666666666666,0.5,0.7272727272727273,0.6666666666666666,0.9107142857142857,B_Reaction_Time_only
Logistic_Regression,4,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.8,0.925,B_Reaction_Time_only
Logistic_Regression,5,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.6666666666666667,0.8583333333333333,B_Reaction_Time_only
Random_Forest,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,0.8333333333333333,0.9484126984126984,B_Reaction_Time_only
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5416666666666666,0.7484126984126984,B_Reaction_Time_only
Random_Forest,3,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.75,0.915079365079365,B_Reaction_Time_only
Random_Forest,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.8261904761904763,B_Reaction_Time_only
Random_Forest,5,0.5,0.4666666666666667,0.6,0.6,0.3333333333333333,0.6,0.7333333333333334,0.8761904761904762,B_Reaction_Time_only
XGBoost,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,0.75,0.9166666666666665,B_Reaction_Time_only
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5416666666666666,0.7539682539682541,B_Reaction_Time_only
XGBoost,3,0.625,0.5833333333333333,0.8,0.6666666666666666,0.5,0.7272727272727273,0.5,0.7484126984126984,B_Reaction_Time_only
