Ablation_Group,Model,Balanced Accuracy,Balanced Accuracy SD,F1,F1 SD,ROC-AUC,ROC-AUC SD,PR-AUC,PR-AUC SD
A_Behavioral_only,Logistic_Regression,0.6933333333333334,0.053489355119604044,0.8358974358974359,0.10470521532869448,0.77,0.15563490039904998,0.8982539682539683,0.0936544087276433
A_Behavioral_only,Random_Forest,0.7433333333333333,0.1831817555204545,0.8727106227106226,0.09432678961038894,0.7633333333333334,0.16090024514862888,0.9001587301587302,0.07313363949992792
A_Behavioral_only,XGBoost,0.7266666666666667,0.18431555067932337,0.8564102564102564,0.13519411616886226,0.7433333333333334,0.17143187827498385,0.8748571428571429,0.0957599360719971
B_Reaction_Time_only,Logistic_Regression,0.45999999999999996,0.08045012257431443,0.7373959373959373,0.07978176509362096,0.6600000000000001,0.10645812948447543,0.8853968253968254,0.03724920333923821
B_Reaction_Time_only,Random_Forest,0.67,0.1376388188137505,0.7646153846153847,0.13016956523452974,0.7050000000000001,0.1089087283513636,0.862857142857143,0.07852812659593161
B_Reaction_Time_only,XGBoost,0.6599999999999999,0.13260216187277388,0.7772494172494173,0.09562134104749101,0.6383333333333333,0.11266962520770382,0.8242857142857144,0.0740493628471578
C_Gaze_only,Logistic_Regression,0.4833333333333334,0.03726779962499649,0.8043956043956044,0.04815143362682774,0.3516666666666667,0.1568350159314629,0.6875873015873015,0.05247045023771142
C_Gaze_only,Random_Forest,0.4833333333333334,0.03726779962499649,0.8043956043956044,0.04815143362682774,0.655,0.21242645786248004,0.8292857142857141,0.08947836359154322
C_Gaze_only,XGBoost,0.5,0.0,0.8219780219780219,0.04815143362682774,0.53,0.18944362984510427,0.7467460317460318,0.11964052091746287
D_Pupil_only,Logistic_Regression,0.47666666666666674,0.0683130051063973,0.7754911754911754,0.08297737551455099,0.6466666666666667,0.24983327774070985,0.8652380952380951,0.09903819081602235
D_Pupil_only,Random_Forest,0.4966666666666667,0.12931443160847214,0.7193006993006993,0.09022611177284742,0.515,0.1518862878749904,0.7925714285714285,0.0589322349350242
D_Pupil_only,XGBoost,0.58,0.1266008600988863,0.7459673659673661,0.09048409413961331,0.6166666666666667,0.16551686721701006,0.8336031746031747,0.04888127388642701
E_Gaze_and_Pupil,Logistic_Regression,0.45666666666666667,0.10246950765959599,0.7512487512487512,0.12813721274584586,0.55,0.1728036779443977,0.8273809523809523,0.09393243566061617
E_Gaze_and_Pupil,Random_Forest,0.5666666666666667,0.13693063937629155,0.7654456654456655,0.18769711951287937,0.64,0.16743572564486417,0.8382698412698412,0.0675226929184324
E_Gaze_and_Pupil,XGBoost,0.58,0.1266008600988863,0.7459673659673661,0.09048409413961331,0.5833333333333333,0.21481581257750404,0.8141587301587302,0.08362742136061929
F_Behavioral_and_RT,Logistic_Regression,0.6933333333333334,0.1182041548433143,0.8397435897435898,0.08209133637734423,0.74,0.17384539747207062,0.8861111111111111,0.09560980701676382
F_Behavioral_and_RT,Random_Forest,0.7399999999999999,0.10314498964510535,0.8246853146853148,0.0935925883563273,0.7,0.2094967514996089,0.838111111111111,0.13958031297146237
F_Behavioral_and_RT,XGBoost,0.6733333333333332,0.16857243744653708,0.7958974358974359,0.12822563938487794,0.6966666666666667,0.2410624630901939,0.8461428571428572,0.13091659684241025
G_Behavioral_RT_and_Gaze,Logistic_Regression,0.6866666666666668,0.19557607215607947,0.7564335664335664,0.15816019155580166,0.6599999999999999,0.12616127245183711,0.8758730158730159,0.0655269163776783
G_Behavioral_RT_and_Gaze,Random_Forest,0.7766666666666666,0.09174239296348594,0.8677156177156176,0.07563195609747145,0.7500000000000001,0.2094967514996089,0.8563809523809525,0.14107955572330066
G_Behavioral_RT_and_Gaze,XGBoost,0.6733333333333332,0.16857243744653708,0.7958974358974359,0.12822563938487794,0.6966666666666667,0.2410624630901939,0.8461428571428572,0.13091659684241025
H_Behavioral_RT_and_Pupil,Logistic_Regression,0.6533333333333333,0.10096754153907307,0.7813519813519815,0.17674662818575895,0.7500000000000002,0.14433756729740643,0.8946984126984127,0.07029831962071778
H_Behavioral_RT_and_Pupil,Random_Forest,0.74,0.16524392743927252,0.848018648018648,0.14303315977125422,0.7466666666666666,0.19804601036683928,0.8690634920634921,0.11692149580123447
H_Behavioral_RT_and_Pupil,XGBoost,0.6233333333333333,0.17701224063135668,0.7827106227106226,0.11453621461879997,0.6666666666666666,0.24608038433722332,0.8259206349206349,0.14032072151995612
I_Behavioral_RT_and_GazePupil,Logistic_Regression,0.6033333333333333,0.06055300708194988,0.7242424242424242,0.13611087685742854,0.67,0.07940752833047733,0.8732698412698413,0.05178783976663471
I_Behavioral_RT_and_GazePupil,Random_Forest,0.76,0.14366241293006635,0.8692307692307691,0.1276912779280896,0.6900000000000001,0.20055478608655097,0.8373809523809523,0.13370849054355757
I_Behavioral_RT_and_GazePupil,XGBoost,0.6233333333333333,0.17701224063135668,0.7827106227106226,0.11453621461879997,0.6833333333333333,0.26246692913372704,0.8314761904761905,0.14678387014637334
