Experiment,Model,Fold,Accuracy,Precision,Recall,F1,ROC-AUC
E1_Behavioral_only,logistic_regression,1,0.9,1.0,0.8,0.8888888888888888,1.0
E1_Behavioral_only,logistic_regression,2,0.7,0.6666666666666666,0.8,0.7272727272727273,0.92
E1_Behavioral_only,logistic_regression,3,0.9,0.8571428571428571,1.0,0.9230769230769231,0.8333333333333334
E1_Behavioral_only,logistic_regression,4,0.7,1.0,0.5,0.6666666666666666,0.75
E1_Behavioral_only,logistic_regression,5,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7916666666666667
E1_Behavioral_only,random_forest,1,1.0,1.0,1.0,1.0,1.0
E1_Behavioral_only,random_forest,2,0.9,0.8333333333333334,1.0,0.9090909090909091,0.9600000000000001
E1_Behavioral_only,random_forest,3,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875
E1_Behavioral_only,random_forest,4,0.8,1.0,0.6666666666666666,0.8,1.0
E1_Behavioral_only,random_forest,5,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7916666666666667
E1_Behavioral_only,xgboost,1,1.0,1.0,1.0,1.0,1.0
E1_Behavioral_only,xgboost,2,0.7,0.6666666666666666,0.8,0.7272727272727273,0.92
E1_Behavioral_only,xgboost,3,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875
E1_Behavioral_only,xgboost,4,0.6,1.0,0.3333333333333333,0.5,1.0
E1_Behavioral_only,xgboost,5,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.75
E2_RT_only,logistic_regression,1,1.0,1.0,1.0,1.0,1.0
E2_RT_only,logistic_regression,2,1.0,1.0,1.0,1.0,1.0
E2_RT_only,logistic_regression,3,1.0,1.0,1.0,1.0,1.0
E2_RT_only,logistic_regression,4,1.0,1.0,1.0,1.0,1.0
E2_RT_only,logistic_regression,5,1.0,1.0,1.0,1.0,1.0
E2_RT_only,random_forest,1,1.0,1.0,1.0,1.0,1.0
E2_RT_only,random_forest,2,1.0,1.0,1.0,1.0,1.0
E2_RT_only,random_forest,3,1.0,1.0,1.0,1.0,1.0
E2_RT_only,random_forest,4,1.0,1.0,1.0,1.0,1.0
E2_RT_only,random_forest,5,1.0,1.0,1.0,1.0,1.0
E2_RT_only,xgboost,1,1.0,1.0,1.0,1.0,1.0
E2_RT_only,xgboost,2,1.0,1.0,1.0,1.0,1.0
E2_RT_only,xgboost,3,0.9,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
E2_RT_only,xgboost,4,1.0,1.0,1.0,1.0,1.0
E2_RT_only,xgboost,5,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,logistic_regression,1,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,logistic_regression,2,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,logistic_regression,3,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,logistic_regression,4,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,logistic_regression,5,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,random_forest,1,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,random_forest,2,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,random_forest,3,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,random_forest,4,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,random_forest,5,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,xgboost,1,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,xgboost,2,0.9,1.0,0.8,0.8888888888888888,0.9
E3_Gaze_only,xgboost,3,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,xgboost,4,1.0,1.0,1.0,1.0,1.0
E3_Gaze_only,xgboost,5,1.0,1.0,1.0,1.0,1.0
E4_Pupil_only,logistic_regression,1,0.6,0.5555555555555556,1.0,0.7142857142857143,0.6399999999999999
E4_Pupil_only,logistic_regression,2,0.5,0.5,1.0,0.6666666666666666,0.88
E4_Pupil_only,logistic_regression,3,0.4,0.5,0.5,0.5,0.5
E4_Pupil_only,logistic_regression,4,0.6,0.6,1.0,0.75,0.6666666666666667
E4_Pupil_only,logistic_regression,5,0.4,0.5,0.5,0.5,0.25
E4_Pupil_only,random_forest,1,0.4,0.4,0.4,0.4,0.36
E4_Pupil_only,random_forest,2,0.4,0.42857142857142855,0.6,0.5,0.28
E4_Pupil_only,random_forest,3,0.7,0.8,0.6666666666666666,0.7272727272727273,0.7083333333333334
E4_Pupil_only,random_forest,4,0.6,0.625,0.8333333333333334,0.7142857142857143,0.5625
E4_Pupil_only,random_forest,5,0.6,0.75,0.5,0.6,0.4375
E4_Pupil_only,xgboost,1,0.2,0.2857142857142857,0.4,0.3333333333333333,0.26
E4_Pupil_only,xgboost,2,0.2,0.2857142857142857,0.4,0.3333333333333333,0.18000000000000002
E4_Pupil_only,xgboost,3,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9375
E4_Pupil_only,xgboost,4,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.47916666666666663
E4_Pupil_only,xgboost,5,0.5,0.6,0.5,0.5454545454545454,0.4375
E5_Gaze_plus_Pupil,logistic_regression,1,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,logistic_regression,2,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,logistic_regression,3,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,logistic_regression,4,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,logistic_regression,5,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,random_forest,1,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,random_forest,2,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,random_forest,3,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,random_forest,4,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,random_forest,5,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,xgboost,1,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,xgboost,2,0.9,1.0,0.8,0.8888888888888888,0.9
E5_Gaze_plus_Pupil,xgboost,3,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,xgboost,4,1.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,xgboost,5,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,logistic_regression,1,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,logistic_regression,2,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,logistic_regression,3,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,logistic_regression,4,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,logistic_regression,5,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,random_forest,1,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,random_forest,2,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,random_forest,3,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,random_forest,4,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,random_forest,5,1.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,xgboost,1,1.0,1.0,1.0,1.0,1.0
