Experiment,Model,Mean Accuracy,Accuracy SD,Mean Precision,Mean Recall,Mean F1,Mean ROC-AUC
E1_Behavioral_only,logistic_regression,0.78,0.09797958971132716,0.8476190476190476,0.7866666666666667,0.795027195027195,0.859
E1_Behavioral_only,random_forest,0.8400000000000001,0.10198039027185571,0.8761904761904763,0.8666666666666666,0.8623310023310025,0.9253333333333333
E1_Behavioral_only,xgboost,0.76,0.1356465996625054,0.8428571428571429,0.76,0.7659673659673659,0.909
E2_RT_only,logistic_regression,1.0,0.0,1.0,1.0,1.0,1.0
E2_RT_only,random_forest,1.0,0.0,1.0,1.0,1.0,1.0
E2_RT_only,xgboost,0.9800000000000001,0.039999999999999994,1.0,0.9666666666666668,0.9818181818181818,0.9833333333333334
E3_Gaze_only,logistic_regression,1.0,0.0,1.0,1.0,1.0,1.0
E3_Gaze_only,random_forest,1.0,0.0,1.0,1.0,1.0,1.0
E3_Gaze_only,xgboost,0.9800000000000001,0.03999999999999999,1.0,0.96,0.9777777777777779,0.9800000000000001
E4_Pupil_only,logistic_regression,0.5,0.08944271909999157,0.5311111111111111,0.8,0.6261904761904762,0.5873333333333333
E4_Pupil_only,random_forest,0.54,0.11999999999999997,0.6007142857142858,0.6,0.5883116883116883,0.46966666666666673
E4_Pupil_only,xgboost,0.4600000000000001,0.233238075793812,0.5342857142857143,0.5599999999999999,0.5424242424242424,0.4588333333333333
E5_Gaze_plus_Pupil,logistic_regression,1.0,0.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,random_forest,1.0,0.0,1.0,1.0,1.0,1.0
E5_Gaze_plus_Pupil,xgboost,0.9800000000000001,0.03999999999999999,1.0,0.96,0.9777777777777779,0.9800000000000001
E6_Behavioral_plus_RT,logistic_regression,1.0,0.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,random_forest,1.0,0.0,1.0,1.0,1.0,1.0
E6_Behavioral_plus_RT,xgboost,0.9800000000000001,0.039999999999999994,1.0,0.9666666666666668,0.9818181818181818,0.9833333333333334
E7_Behavioral_plus_Gaze_Pupil,logistic_regression,1.0,0.0,1.0,1.0,1.0,1.0
E7_Behavioral_plus_Gaze_Pupil,random_forest,0.96,0.04898979485566354,0.9428571428571428,1.0,0.9692307692307693,1.0
E7_Behavioral_plus_Gaze_Pupil,xgboost,0.9800000000000001,0.03999999999999999,1.0,0.96,0.9777777777777779,0.9800000000000001
E8_RT_plus_Gaze_Pupil,logistic_regression,1.0,0.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,random_forest,1.0,0.0,1.0,1.0,1.0,1.0
E8_RT_plus_Gaze_Pupil,xgboost,0.9800000000000001,0.039999999999999994,1.0,0.9666666666666668,0.9818181818181818,0.9833333333333334
E9_All_features,logistic_regression,1.0,0.0,1.0,1.0,1.0,1.0
E9_All_features,random_forest,1.0,0.0,1.0,1.0,1.0,1.0
E9_All_features,xgboost,0.9800000000000001,0.039999999999999994,1.0,0.9666666666666668,0.9818181818181818,0.9833333333333334
