Feature,Accuracy,Precision,Recall,F1,ROC-AUC,Overlap Available,Overlap Range,Interpretation
mean_reaction_time_ms,1.0,1.0,1.0,1.0,1.0,False,None,SUSPECTED LEAKAGE / HIGH SEPARABILITY
median_reaction_time_ms,1.0,1.0,1.0,1.0,1.0,False,None,SUSPECTED LEAKAGE / HIGH SEPARABILITY
rt_variability,0.9199999999999999,0.9714285714285715,0.8933333333333333,0.926029526029526,0.992,True,"[109.76, 125.35]",No Leakage
rt_coefficient_of_variation,0.72,0.7761904761904762,0.7133333333333333,0.728997668997669,0.8523333333333334,True,"[0.14, 0.21]",No Leakage
accuracy_overall,0.8400000000000001,0.840952380952381,0.8933333333333333,0.8651282051282052,0.8755,True,"[0.68, 0.82]",No Leakage
accuracy_by_load_diff,0.5,0.5342857142857141,0.86,0.654029304029304,0.5153333333333333,True,"[-0.09, 0.25]",No Leakage
accuracy_by_distractor_diff,0.5,0.5292857142857142,0.8533333333333333,0.6487179487179487,0.40966666666666657,True,"[-0.19, 0.39]",No Leakage
mean_fixation_stability,1.0,1.0,1.0,1.0,1.0,False,None,SUSPECTED LEAKAGE / HIGH SEPARABILITY
mean_pupil_proxy,0.5,0.5311111111111111,0.8,0.6261904761904762,0.5873333333333333,True,"[-0.07, 0.05]",No Leakage
omission_rate,0.74,0.7142857142857143,0.8933333333333333,0.7923076923076924,0.7331666666666667,True,"[0.00, 0.05]",No Leakage
false_alarm_rate,0.78,0.7742857142857142,0.86,0.8112820512820514,0.761,True,"[0.10, 0.40]",No Leakage
hit_rate,0.7400000000000001,0.7833333333333333,0.7933333333333332,0.7653679653679653,0.859,True,"[0.61, 0.83]",No Leakage
