Feature,ADHD Summary,Control Summary,Test,Statistic,Raw P,FDR P,Effect Size,Effect Interpretation
mean_fixation_stability,"Mean=6.700, SD=0.072, Med=6.706","Mean=1.680, SD=0.018, Med=1.681",Welch's t-test,356.3371960081222,3.2229091186646195e-58,3.8674909423975434e-57,91.16284818638782,Large
mean_reaction_time_ms,"Mean=754.499, SD=24.707, Med=756.551","Mean=599.258, SD=10.149, Med=598.800",Welch's t-test,30.166510126579556,5.8383754282558555e-28,3.5030252569535135e-27,7.876863752941015,Large
median_reaction_time_ms,"Mean=757.898, SD=30.914, Med=765.904","Mean=598.140, SD=16.392, Med=599.467",Welch's t-test,23.467132104562097,4.805336595814317e-26,1.9221346383257268e-25,6.241657876543126,Large
rt_variability,"Mean=152.881, SD=21.527, Med=153.712","Mean=98.749, SD=11.846, Med=96.471",Welch's t-test,11.304815859409123,1.555022447785562e-14,4.665067343356686e-14,3.0163893256016436,Large
accuracy_overall,"Mean=0.719, SD=0.055, Med=0.700","Mean=0.836, SD=0.074, Med=0.837",Welch's t-test,-6.218341132529229,3.0396416983548536e-07,7.295140076051649e-07,-1.8373283649878407,Large
hit_rate,"Mean=0.679, SD=0.103, Med=0.695","Mean=0.842, SD=0.094, Med=0.847",Welch's t-test,-5.842042130460015,4.688467491769112e-07,9.376934983538223e-07,-1.6451847742387893,Large
rt_coefficient_of_variation,"Mean=0.203, SD=0.030, Med=0.209","Mean=0.165, SD=0.019, Med=0.160",Welch's t-test,5.409145707472227,2.182372841102151e-06,3.7412105847465445e-06,1.4625906684254084,Large
false_alarm_rate,"Mean=0.248, SD=0.077, Med=0.235","Mean=0.168, SD=0.103, Med=0.146",Welch's t-test,3.025469379649524,0.00444356898832271,0.0066653534824840655,0.8921731552363308,Large
omission_rate,"Mean=0.018, SD=0.016, Med=0.025","Mean=0.039, SD=0.029, Med=0.050",Welch's t-test,-3.0366090801197103,0.004755853790975231,0.006341138387966974,-0.9201095990086627,Large
mean_pupil_proxy,"Mean=0.004, SD=0.043, Med=-0.002","Mean=-0.009, SD=0.038, Med=-0.006",Welch's t-test,1.0999863180015421,0.2769072918410999,0.33228875020931986,0.3087176013912529,Small
accuracy_by_load_diff,"Mean=0.127, SD=0.159, Med=0.108","Mean=0.101, SD=0.096, Med=0.121",Welch's t-test,0.7101004727072832,0.48128936563132074,0.5250429443250771,0.19097100904289088,Negligible
accuracy_by_distractor_diff,"Mean=0.035, SD=0.180, Med=0.030","Mean=0.041, SD=0.157, Med=0.056",Welch's t-test,-0.11466155806108126,0.9091972356093903,0.9091972356093903,-0.03212097329321778,Negligible
